id,name
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antarctica
9,Antigua And Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bhutan
26,Bolivia
27,Bosnia And Herzegovina
28,Botswana
29,Bouvet Island
30,Brazil
31,British Indian Ocean Territory
32,Brunei Darussalam
33,Bulgaria
34,Burkina Faso
35,Burundi
36,Cambodia
37,Cameroon
38,Canada
39,Cape Verde
40,Cayman Islands
41,Central African Republic
42,Chad
43,Chile
44,China
45,Christmas Island
46,Cocos Islands
47,Colombia
48,Comoros
49,Congo
50,Congo The Democratic Republic Of The
51,Cook Islands
52,Costa Rica
53,Cote D'ivoire
54,Croatia
55,Cuba
56,Cyprus
57,Czech Republic
58,Denmark
59,Djibouti
60,Dominica
61,Dominican Republic
62,East Timor
63,Ecuador
64,Egypt
65,El Salvador
66,Equatorial Guinea
67,Eritrea
68,Estonia
69,Ethiopia
70,Falkland Islands
71,Faroe Islands
72,Fiji
73,Finland
74,France
75,French Guiana
76,French Polynesia
77,French Southern Territories
78,Gabon
79,Gambia
80,Georgia
81,Germany
82,Ghana
83,Gibraltar
84,Greece
85,Greenland
86,Grenada
87,Guadeloupe
88,Guam
89,Guatemala
90,Guinea
91,Guinea-bissau
92,Guyana
93,Haiti
94,Heard Island And Mcdonald Islands
95,Holy See
96,Honduras
97,Hong Kong
98,Hungary
99,Iceland
100,India
101,Indonesia
102,Iran
103,Iraq
104,Ireland
105,Israel
106,Italy
107,Jamaica
108,Japan
109,Jordan
110,Kazakstan
111,Kenya
112,Kiribati
113,Korea Democratic People's Republic Of
114,Korea Republic Of
115,Kosovo
116,Kuwait
117,Kyrgyzstan
118,Lao People's Democratic Republic
119,Latvia
120,Lebanon
121,Lesotho
122,Liberia
123,Libyan Arab Jamahiriya
124,Liechtenstein
125,Lithuania
126,Luxembourg
127,Macau
128,Macedonia
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
135,Marshall Islands
136,Martinique
137,Mauritania
138,Mauritius
139,Mayotte
140,Mexico
141,Micronesia Federated States Of
142,Moldova
143,Monaco
144,Mongolia
145,Montserrat
146,Montenegro
147,Morocco
148,Mozambique
149,Myanmar
150,Namibia
151,Nauru
152,Nepal
153,Netherlands
154,Netherlands Antilles
155,New Caledonia
156,New Zealand
157,Nicaragua
158,Niger
159,Nigeria
160,Niue
161,Norfolk Island
162,Northern Mariana Islands
163,Norway
164,Oman
165,Pakistan
166,Palau
167,Palestinian Territory
168,Panama
169,Papua New Guinea
170,Paraguay
171,Peru
172,Philippines
173,Pitcairn
174,Poland
175,Portugal
176,Puerto Rico
177,Qatar
178,Reunion
179,Romania
180,Russian Federation
181,Rwanda
182,Saint Helena
183,Saint Kitts And Nevis
184,Saint Lucia
185,Saint Pierre And Miquelon
186,Saint Vincent And The Grenadines
187,Samoa
188,San Marino
189,Sao Tome And Principe
190,Saudi Arabia
191,Senegal
192,Serbia
193,Seychelles
194,Sierra Leone
195,Singapore
196,Slovakia
197,Slovenia
198,Solomon Islands
199,Somalia
200,South Africa
201,South Georgia And The South Sandwich Islands
202,Spain
203,Sri Lanka
204,Sudan
205,Suriname
206,Svalbard And Jan Mayen
207,Swaziland
208,Sweden
209,Switzerland
210,Syrian Arab Republic
211,Taiwan Province Of China
212,Tajikistan
213,Tanzania United Republic Of
214,Thailand
215,Togo
216,Tokelau
217,Tonga
218,Trinidad And Tobago
219,Tunisia
220,Turkey
221,Turkmenistan
222,Turks And Caicos Islands
223,Tuvalu
224,Uganda
225,Ukraine
226,United Arab Emirates
227,United Kingdom
228,United States
229,United States Minor Outlying Islands
230,Uruguay
231,Uzbekistan
232,Vanuatu
233,Venezuela
234,Viet Nam
235,Virgin Islands British
236,Virgin Islands U.S.
237,Wallis And Futuna
238,Western Sahara
239,Yemen
240,Zambia
241,Zimbabwe
